NAME,median_household_income,rent_burden_total_households,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,GEOID,housing_cost_burden_ratio
Census Tract 2152.01; St. Louis County; Missouri,138981,1171,47,17,144,425,29,189,215201,29189215201,0.5405636208368916
Census Tract 2152.31; St. Louis County; Missouri,134453,409,19,19,17,76,29,189,215231,29189215231,0.3202933985330073
Census Tract 2152.33; St. Louis County; Missouri,126071,537,40,31,73,62,29,189,215233,29189215233,0.38361266294227186
Census Tract 2152.34; St. Louis County; Missouri,217670,6,0,0,0,0,29,189,215234,29189215234,0.0
Census Tract 2152.35; St. Louis County; Missouri,141000,276,0,31,0,124,29,189,215235,29189215235,0.5615942028985508
Census Tract 2152.36; St. Louis County; Missouri,119375,92,0,9,12,40,29,189,215236,29189215236,0.6630434782608695
Census Tract 2153.01; St. Louis County; Missouri,128021,472,19,6,17,55,29,189,215301,29189215301,0.2055084745762712
Census Tract 2153.02; St. Louis County; Missouri,228523,35,6,0,0,2,29,189,215302,29189215302,0.22857142857142856
Census Tract 2154; St. Louis County; Missouri,250001,132,12,0,0,0,29,189,215400,29189215400,0.09090909090909091
Census Tract 2155; St. Louis County; Missouri,157019,100,24,0,7,0,29,189,215500,29189215500,0.31
Census Tract 2156; St. Louis County; Missouri,83941,1193,109,48,169,84,29,189,215600,29189215600,0.34367141659681477
Census Tract 2157; St. Louis County; Missouri,61799,900,60,0,6,222,29,189,215700,29189215700,0.32
Census Tract 2158.01; St. Louis County; Missouri,183309,94,0,0,0,0,29,189,215801,29189215801,0.0
Census Tract 2158.02; St. Louis County; Missouri,60594,717,27,0,53,322,29,189,215802,29189215802,0.5606694560669456
Census Tract 2158.03; St. Louis County; Missouri,100553,1219,32,39,57,208,29,189,215803,29189215803,0.2756357670221493
Census Tract 2159.01; St. Louis County; Missouri,73788,224,0,0,31,23,29,189,215901,29189215901,0.24107142857142858
Census Tract 2159.02; St. Louis County; Missouri,58169,388,0,13,31,16,29,189,215902,29189215902,0.15463917525773196
Census Tract 2160; St. Louis County; Missouri,56293,245,64,37,27,24,29,189,216000,29189216000,0.6204081632653061
Census Tract 2161.01; St. Louis County; Missouri,39846,940,145,68,55,354,29,189,216101,29189216101,0.6617021276595745
Census Tract 2161.02; St. Louis County; Missouri,49707,903,53,45,141,326,29,189,216102,29189216102,0.6256921373200443
Census Tract 2162.01; St. Louis County; Missouri,141435,635,32,73,30,29,29,189,216201,29189216201,0.25826771653543307
Census Tract 2162.02; St. Louis County; Missouri,118373,648,37,0,27,166,29,189,216202,29189216202,0.3549382716049383
Census Tract 2163; St. Louis County; Missouri,93942,782,62,57,48,39,29,189,216300,29189216300,0.26342710997442453
Census Tract 2164.01; St. Louis County; Missouri,149087,245,9,0,9,41,29,189,216401,29189216401,0.24081632653061225
Census Tract 2164.02; St. Louis County; Missouri,133168,711,48,0,21,147,29,189,216402,29189216402,0.3037974683544304
Census Tract 2165; St. Louis County; Missouri,124226,1071,131,72,36,330,29,189,216500,29189216500,0.5312791783380019
Census Tract 2166; St. Louis County; Missouri,119808,518,63,23,38,33,29,189,216600,29189216600,0.3030888030888031
Census Tract 2167; St. Louis County; Missouri,94185,890,115,45,58,150,29,189,216700,29189216700,0.4134831460674157
Census Tract 2168; St. Louis County; Missouri,83906,619,75,7,0,78,29,189,216800,29189216800,0.25848142164781907
Census Tract 2169; St. Louis County; Missouri,49199,998,85,30,66,97,29,189,216900,29189216900,0.2785571142284569
Census Tract 2170; St. Louis County; Missouri,72935,1168,195,21,77,17,29,189,217000,29189217000,0.2654109589041096
Census Tract 2172; St. Louis County; Missouri,69141,464,23,0,11,70,29,189,217200,29189217200,0.22413793103448276
Census Tract 2173; St. Louis County; Missouri,80648,494,41,26,19,152,29,189,217300,29189217300,0.4817813765182186
Census Tract 2174; St. Louis County; Missouri,111077,1008,21,13,75,120,29,189,217400,29189217400,0.22718253968253968
Census Tract 2175; St. Louis County; Missouri,213679,20,0,0,0,0,29,189,217500,29189217500,0.0
Census Tract 2176; St. Louis County; Missouri,205368,222,6,3,0,169,29,189,217600,29189217600,0.8018018018018018
Census Tract 2177.01; St. Louis County; Missouri,212727,294,0,8,28,115,29,189,217701,29189217701,0.5136054421768708
Census Tract 2177.02; St. Louis County; Missouri,158162,309,23,0,16,126,29,189,217702,29189217702,0.5339805825242718
Census Tract 2178.02; St. Louis County; Missouri,113125,271,0,0,57,13,29,189,217802,29189217802,0.25830258302583026
Census Tract 2178.06; St. Louis County; Missouri,117699,670,23,11,223,98,29,189,217806,29189217806,0.5298507462686567
Census Tract 2178.07; St. Louis County; Missouri,125958,535,17,0,83,154,29,189,217807,29189217807,0.4747663551401869
Census Tract 2178.41; St. Louis County; Missouri,130000,398,43,0,0,21,29,189,217841,29189217841,0.16080402010050251
Census Tract 2178.51; St. Louis County; Missouri,170417,14,0,0,0,0,29,189,217851,29189217851,0.0
Census Tract 2178.52; St. Louis County; Missouri,176315,59,0,0,11,0,29,189,217852,29189217852,0.1864406779661017
Census Tract 2178.53; St. Louis County; Missouri,135500,598,28,27,40,98,29,189,217853,29189217853,0.32274247491638797
Census Tract 2178.54; St. Louis County; Missouri,132708,60,0,0,20,22,29,189,217854,29189217854,0.7
Census Tract 2179.21; St. Louis County; Missouri,171987,219,12,18,0,4,29,189,217921,29189217921,0.1552511415525114
Census Tract 2179.23; St. Louis County; Missouri,121699,501,54,0,12,78,29,189,217923,29189217923,0.2874251497005988
Census Tract 2179.31; St. Louis County; Missouri,118487,348,80,43,14,34,29,189,217931,29189217931,0.49137931034482757
Census Tract 2179.32; St. Louis County; Missouri,123988,396,24,0,46,181,29,189,217932,29189217932,0.6338383838383839
Census Tract 2179.41; St. Louis County; Missouri,115667,190,28,16,22,0,29,189,217941,29189217941,0.3473684210526316
Census Tract 2179.42; St. Louis County; Missouri,96086,509,50,7,61,92,29,189,217942,29189217942,0.412573673870334
Census Tract 2179.43; St. Louis County; Missouri,110714,127,3,0,0,42,29,189,217943,29189217943,0.3543307086614173
Census Tract 2179.44; St. Louis County; Missouri,127179,132,0,0,0,13,29,189,217944,29189217944,0.09848484848484848
Census Tract 2180.12; St. Louis County; Missouri,187750,49,0,11,0,9,29,189,218012,29189218012,0.40816326530612246
Census Tract 2180.13; St. Louis County; Missouri,114779,716,20,31,38,189,29,189,218013,29189218013,0.388268156424581
Census Tract 2180.14; St. Louis County; Missouri,154091,3,0,0,0,0,29,189,218014,29189218014,0.0
Census Tract 2180.15; St. Louis County; Missouri,133625,109,44,0,12,28,29,189,218015,29189218015,0.7706422018348624
Census Tract 2180.16; St. Louis County; Missouri,107656,1021,33,30,19,262,29,189,218016,29189218016,0.33692458374143
Census Tract 2181.02; St. Louis County; Missouri,86701,197,45,8,0,77,29,189,218102,29189218102,0.6598984771573604
Census Tract 2181.04; St. Louis County; Missouri,65093,566,35,38,36,136,29,189,218104,29189218104,0.43286219081272087
Census Tract 2181.05; St. Louis County; Missouri,61116,1538,232,41,212,279,29,189,218105,29189218105,0.4967490247074122
Census Tract 2182.01; St. Louis County; Missouri,127639,202,5,0,12,36,29,189,218201,29189218201,0.2623762376237624
Census Tract 2183; St. Louis County; Missouri,77500,626,39,19,32,250,29,189,218300,29189218300,0.5431309904153354
Census Tract 2184.01; St. Louis County; Missouri,172604,124,27,12,0,16,29,189,218401,29189218401,0.4435483870967742
Census Tract 2184.02; St. Louis County; Missouri,147212,252,12,0,29,10,29,189,218402,29189218402,0.20238095238095238
Census Tract 2185; St. Louis County; Missouri,150144,99,23,25,0,18,29,189,218500,29189218500,0.6666666666666666
Census Tract 2186; St. Louis County; Missouri,82500,497,56,71,22,95,29,189,218600,29189218600,0.4909456740442656
Census Tract 2188; St. Louis County; Missouri,170700,91,0,0,0,0,29,189,218800,29189218800,0.0
Census Tract 2189.01; St. Louis County; Missouri,90257,499,0,0,37,111,29,189,218901,29189218901,0.2965931863727455
Census Tract 2189.02; St. Louis County; Missouri,103455,68,0,15,26,10,29,189,218902,29189218902,0.75
Census Tract 2191; St. Louis County; Missouri,89310,561,0,0,41,129,29,189,219100,29189219100,0.30303030303030304
Census Tract 2192; St. Louis County; Missouri,123051,384,18,18,16,268,29,189,219200,29189219200,0.8333333333333334
Census Tract 2193; St. Louis County; Missouri,129479,137,0,2,17,33,29,189,219300,29189219300,0.3795620437956204
Census Tract 2194; St. Louis County; Missouri,168929,183,9,0,0,0,29,189,219400,29189219400,0.04918032786885246
Census Tract 2195.01; St. Louis County; Missouri,111330,185,0,12,0,78,29,189,219501,29189219501,0.4864864864864865
Census Tract 2195.02; St. Louis County; Missouri,78492,563,26,14,75,314,29,189,219502,29189219502,0.7619893428063943
Census Tract 2196.01; St. Louis County; Missouri,78896,960,10,38,77,309,29,189,219601,29189219601,0.45208333333333334
Census Tract 2196.02; St. Louis County; Missouri,102460,205,40,7,0,51,29,189,219602,29189219602,0.47804878048780486
Census Tract 2197; St. Louis County; Missouri,64178,818,0,28,219,79,29,189,219700,29189219700,0.39853300733496333
Census Tract 2198.01; St. Louis County; Missouri,77264,265,0,27,0,33,29,189,219801,29189219801,0.22641509433962265
Census Tract 2198.02; St. Louis County; Missouri,71302,575,20,54,36,105,29,189,219802,29189219802,0.3739130434782609
Census Tract 2199; St. Louis County; Missouri,81132,438,0,23,13,63,29,189,219900,29189219900,0.22602739726027396
Census Tract 2200.01; St. Louis County; Missouri,76548,359,0,0,14,33,29,189,220001,29189220001,0.1309192200557103
Census Tract 2200.02; St. Louis County; Missouri,74831,592,104,26,46,50,29,189,220002,29189220002,0.38175675675675674
Census Tract 2201.01; St. Louis County; Missouri,59018,332,2,12,5,37,29,189,220101,29189220101,0.1686746987951807
Census Tract 2201.02; St. Louis County; Missouri,49548,594,81,68,0,166,29,189,220102,29189220102,0.5303030303030303
Census Tract 2202; St. Louis County; Missouri,71721,206,23,0,0,62,29,189,220200,29189220200,0.41262135922330095
Census Tract 2203; St. Louis County; Missouri,43307,531,38,41,59,112,29,189,220300,29189220300,0.4708097928436911
Census Tract 2204.41; St. Louis County; Missouri,96397,568,53,145,64,71,29,189,220441,29189220441,0.5862676056338029
Census Tract 2204.42; St. Louis County; Missouri,91476,27,0,10,0,0,29,189,220442,29189220442,0.37037037037037035
Census Tract 2204.43; St. Louis County; Missouri,76681,779,79,65,99,203,29,189,220443,29189220443,0.5725288831835686
Census Tract 2204.45; St. Louis County; Missouri,114023,133,0,12,0,19,29,189,220445,29189220445,0.23308270676691728
Census Tract 2204.46; St. Louis County; Missouri,120042,57,0,0,0,0,29,189,220446,29189220446,0.0
Census Tract 2204.47; St. Louis County; Missouri,73993,565,40,43,156,34,29,189,220447,29189220447,0.4831858407079646
Census Tract 2204.48; St. Louis County; Missouri,66961,738,37,49,17,226,29,189,220448,29189220448,0.44579945799457993
Census Tract 2204.49; St. Louis County; Missouri,116505,239,25,14,0,88,29,189,220449,29189220449,0.5313807531380753
Census Tract 2204.50; St. Louis County; Missouri,111500,193,0,2,0,18,29,189,220450,29189220450,0.10362694300518134
Census Tract 2204.51; St. Louis County; Missouri,118750,20,0,0,0,3,29,189,220451,29189220451,0.15
Census Tract 2204.52; St. Louis County; Missouri,114261,32,0,0,10,0,29,189,220452,29189220452,0.3125
Census Tract 2205.01; St. Louis County; Missouri,61976,464,25,16,83,53,29,189,220501,29189220501,0.38146551724137934
Census Tract 2205.03; St. Louis County; Missouri,64830,292,26,10,83,10,29,189,220503,29189220503,0.4417808219178082
Census Tract 2205.04; St. Louis County; Missouri,47172,1014,81,92,111,225,29,189,220504,29189220504,0.5019723865877712
