NAME,median_household_income,rent_burden_total_households,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,GEOID,housing_cost_burden_ratio
Census Tract 1112; St. Louis city; Missouri,31993,134,9,0,42,18,29,510,111200,29510111200,0.5149253731343284
Census Tract 1113; St. Louis city; Missouri,27443,552,66,71,8,123,29,510,111300,29510111300,0.4855072463768116
Census Tract 1121; St. Louis city; Missouri,61650,1883,186,267,119,179,29,510,112100,29510112100,0.3988316516197557
Census Tract 1122; St. Louis city; Missouri,43250,388,69,10,11,118,29,510,112200,29510112200,0.5360824742268041
Census Tract 1123; St. Louis city; Missouri,32656,419,0,19,7,167,29,510,112300,29510112300,0.4606205250596659
Census Tract 1124; St. Louis city; Missouri,78185,1699,66,37,133,385,29,510,112400,29510112400,0.3655091230135374
Census Tract 1135; St. Louis city; Missouri,84330,471,0,23,0,119,29,510,113500,29510113500,0.30148619957537154
Census Tract 1141.01; St. Louis city; Missouri,52336,1271,136,96,0,368,29,510,114101,29510114101,0.47206923682140045
Census Tract 1141.02; St. Louis city; Missouri,80445,923,54,86,125,134,29,510,114102,29510114102,0.4322860238353196
Census Tract 1142; St. Louis city; Missouri,78851,704,57,12,104,177,29,510,114200,29510114200,0.4971590909090909
Census Tract 1143; St. Louis city; Missouri,85113,704,0,57,27,55,29,510,114300,29510114300,0.19744318181818182
Census Tract 1151; St. Louis city; Missouri,47958,759,8,9,109,132,29,510,115100,29510115100,0.33992094861660077
Census Tract 1152; St. Louis city; Missouri,44286,741,122,35,52,211,29,510,115200,29510115200,0.5668016194331984
Census Tract 1153; St. Louis city; Missouri,61726,1074,53,65,17,291,29,510,115300,29510115300,0.39664804469273746
Census Tract 1154; St. Louis city; Missouri,52847,475,0,0,20,111,29,510,115400,29510115400,0.27578947368421053
Census Tract 1155; St. Louis city; Missouri,50871,1287,98,240,19,220,29,510,115500,29510115500,0.4483294483294483
Census Tract 1156; St. Louis city; Missouri,32363,1898,34,29,124,569,29,510,115600,29510115600,0.39831401475237094
Census Tract 1157; St. Louis city; Missouri,41267,1453,138,97,176,276,29,510,115700,29510115700,0.4728148657949071
Census Tract 1161; St. Louis city; Missouri,43884,971,53,24,117,415,29,510,116100,29510116100,0.627188465499485
Census Tract 1162; St. Louis city; Missouri,87492,575,55,19,33,81,29,510,116200,29510116200,0.3269565217391304
Census Tract 1163.01; St. Louis city; Missouri,93385,491,4,39,40,108,29,510,116301,29510116301,0.3890020366598778
Census Tract 1163.02; St. Louis city; Missouri,38778,982,49,74,175,285,29,510,116302,29510116302,0.5936863543788188
Census Tract 1164; St. Louis city; Missouri,49378,1271,56,76,84,291,29,510,116400,29510116400,0.3988985051140834
Census Tract 1165; St. Louis city; Missouri,95000,779,50,21,85,162,29,510,116500,29510116500,0.40821566110397944
Census Tract 1171; St. Louis city; Missouri,69038,585,64,21,32,86,29,510,117100,29510117100,0.347008547008547
Census Tract 1172; St. Louis city; Missouri,127772,1164,65,76,111,15,29,510,117200,29510117200,0.22938144329896906
Census Tract 1174; St. Louis city; Missouri,106364,825,52,98,69,169,29,510,117400,29510117400,0.4703030303030303
Census Tract 1181; St. Louis city; Missouri,87738,483,26,29,54,90,29,510,118100,29510118100,0.41200828157349895
Census Tract 1186; St. Louis city; Missouri,49917,1260,31,117,39,612,29,510,118600,29510118600,0.6341269841269841
Census Tract 1191.01; St. Louis city; Missouri,50313,1466,73,132,57,266,29,510,119101,29510119101,0.3601637107776262
Census Tract 1191.02; St. Louis city; Missouri,49735,1638,103,122,40,544,29,510,119102,29510119102,0.4938949938949939
Census Tract 1192; St. Louis city; Missouri,86280,275,0,78,11,51,29,510,119200,29510119200,0.509090909090909
Census Tract 1193; St. Louis city; Missouri,31434,1591,154,87,58,502,29,510,119300,29510119300,0.5034569453174105
Census Tract 1202; St. Louis city; Missouri,46645,264,21,0,36,31,29,510,120200,29510120200,0.3333333333333333
Census Tract 1212; St. Louis city; Missouri,25233,805,92,23,88,98,29,510,121200,29510121200,0.3739130434782609
Census Tract 1231; St. Louis city; Missouri,88875,646,38,41,53,137,29,510,123100,29510123100,0.41640866873065013
Census Tract 1232; St. Louis city; Missouri,68597,707,34,8,64,149,29,510,123200,29510123200,0.3606789250353607
Census Tract 1233; St. Louis city; Missouri,73977,862,33,18,93,256,29,510,123300,29510123300,0.46403712296983757
Census Tract 1241; St. Louis city; Missouri,41516,1184,192,35,47,288,29,510,124100,29510124100,0.47466216216216217
Census Tract 1242; St. Louis city; Missouri,41927,965,118,219,0,202,29,510,124200,29510124200,0.5585492227979275
Census Tract 1243; St. Louis city; Missouri,104267,597,16,0,11,78,29,510,124300,29510124300,0.17587939698492464
Census Tract 1246; St. Louis city; Missouri,50703,497,3,29,53,126,29,510,124600,29510124600,0.4245472837022133
Census Tract 1255; St. Louis city; Missouri,69734,2117,227,77,210,377,29,510,125500,29510125500,0.4208786017949929
Census Tract 1256; St. Louis city; Missouri,68750,2897,230,142,279,477,29,510,125600,29510125600,0.3893683120469451
Census Tract 1257; St. Louis city; Missouri,24481,829,0,102,45,400,29,510,125700,29510125700,0.6598311218335344
Census Tract 1266; St. Louis city; Missouri,18088,820,135,0,106,127,29,510,126600,29510126600,0.44878048780487806
Census Tract 1267; St. Louis city; Missouri,51500,240,0,0,0,62,29,510,126700,29510126700,0.25833333333333336
Census Tract 1268; St. Louis city; Missouri,77188,603,19,3,84,112,29,510,126800,29510126800,0.3615257048092869
Census Tract 1269; St. Louis city; Missouri,50186,710,33,58,110,137,29,510,126900,29510126900,0.476056338028169
Census Tract 1270; St. Louis city; Missouri,38342,246,0,36,66,48,29,510,127000,29510127000,0.6097560975609756
Census Tract 1271; St. Louis city; Missouri,16409,556,35,55,51,117,29,510,127100,29510127100,0.46402877697841727
Census Tract 1272; St. Louis city; Missouri,74982,1122,231,0,17,196,29,510,127200,29510127200,0.39572192513368987
Census Tract 1273; St. Louis city; Missouri,53558,1245,111,157,6,202,29,510,127300,29510127300,0.3823293172690763
Census Tract 1274; St. Louis city; Missouri,43476,1626,245,0,40,535,29,510,127400,29510127400,0.5043050430504306
Census Tract 1275; St. Louis city; Missouri,31589,932,101,114,31,276,29,510,127500,29510127500,0.5600858369098712
Census Tract 1276; St. Louis city; Missouri,68290,1159,53,80,85,222,29,510,127600,29510127600,0.3796376186367558
Census Tract 1277; St. Louis city; Missouri,27914,438,6,39,0,126,29,510,127700,29510127700,0.3904109589041096
Census Tract 1278; St. Louis city; Missouri,26097,1602,89,35,69,527,29,510,127800,29510127800,0.449438202247191
